event_id,source_id,bess_id,dominant_state,start_utc,end_utc,duration_sec,row_count,max_score,top_categories,top_reason,max_pcs_phase_voltage_imbalance,max_pcs_phase_current_imbalance,max_pcs_dc_current_vs_bms_current_delta,max_pcs_dc_voltage_vs_bms_voltage_delta,max_bms_cell_voltage_spread,max_bms_temperature_spread,max_pcs_fault_flag_count,max_bms_fault_flag_count
480,external_ems_2,bess_2,warning,2026-08-18T09:37:29.618521+00:00,2026-08-18T09:37:29.618521+00:00,0.0,1,0.4628,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 27.1; PCS DC current and BMS current mismatch: 28.8,0.5,27.1,28.8,3.4,2.0,2.0,0.0,0.0
481,external_ems_2,bess_2,warning,2026-08-18T09:38:45.630366+00:00,2026-08-18T09:38:46.618579+00:00,0.988,2,0.3704,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 43.1,0.8,0.8,43.1,5.0,2.0,1.9,0.0,0.0
482,external_ems_2,bess_2,warning,2026-08-18T09:49:00.628739+00:00,2026-08-18T09:49:03.628804+00:00,3.0,4,0.465,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 49.0,2.4,0.6,49.0,3.6,1.0,1.9,0.0,0.0
483,external_ems_2,bess_2,warning,2026-08-18T09:51:29.630478+00:00,2026-08-18T09:51:30.619160+00:00,0.989,2,0.6107,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 6.6; PCS DC current and BMS current mismatch: 57.4,0.5,1.7,57.4,6.6,2.0,1.9,0.0,0.0
484,external_ems_2,bess_2,warning,2026-08-18T09:53:29.628691+00:00,2026-08-18T09:53:30.618955+00:00,0.99,2,0.4381,pcs_phase_voltage_imbalance;pcs_bms_current_mismatch,PCS phase voltage imbalance high: 8.1; PCS DC current and BMS current mismatch: 47.0,8.1,1.9,47.0,4.5,2.0,1.9,0.0,0.0
485,external_ems_2,bess_2,warning,2026-08-18T10:03:16.628683+00:00,2026-08-18T10:03:18.629910+00:00,2.001,3,0.6824,pcs_phase_voltage_imbalance;pcs_phase_current_imbalance;pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS phase voltage imbalance high: 8.4; PCS phase current imbalance high: 12.2; PCS DC voltage and BMS voltage mismatch: 9.2; PCS DC current and BMS current mismatch: 91.3,8.4,12.2,91.3,9.2,3.0,1.9,0.0,0.0
486,external_ems_2,bess_2,warning,2026-08-18T10:05:10.629565+00:00,2026-08-18T10:05:16.618572+00:00,5.989,7,0.6418,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 8.3; PCS DC current and BMS current mismatch: 61.1,3.0,8.3,61.5,1.2,1.0,1.9,0.0,0.0
487,external_ems_2,bess_2,warning,2026-08-18T10:11:51.629188+00:00,2026-08-18T10:11:54.618567+00:00,2.989,4,0.6566,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 7.2; PCS DC current and BMS current mismatch: 66.4,0.5,0.2,66.4,7.2,2.0,2.0,0.0,0.0
488,external_ems_2,bess_2,warning,2026-08-18T11:45:20.629612+00:00,2026-08-18T11:45:21.619214+00:00,0.99,2,0.372,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 43.2,0.4,2.8,43.2,2.7,2.0,1.8,0.0,0.0
489,external_ems_2,bess_2,warning,2026-08-18T12:38:05.619351+00:00,2026-08-18T12:38:05.619351+00:00,0.0,1,0.4361,pcs_phase_voltage_imbalance,PCS phase voltage imbalance high: 22.0,22.0,2.5,0.5,1.1,2.0,1.7,0.0,0.0
490,external_ems_2,bess_2,warning,2026-08-18T20:25:09.618694+00:00,2026-08-18T20:25:09.618694+00:00,0.0,1,0.3516,pcs_phase_current_imbalance,PCS phase current imbalance high: 22.8,0.6,22.8,11.3,1.6,1.0,0.9,0.0,0.0
491,external_ems_1,bess_1,abnormal,2026-08-17T12:46:59.618577+00:00,2026-08-17T12:47:24.618575+00:00,25.0,26,0.7103,pcs_fault_or_alarm;pcs_phase_voltage_imbalance,PCS fault or alarm flags active: 2.0,36.6,0.3,0.3,2.5,1.0,1.9,2.0,0.0
492,external_ems_2,bess_2,warning,2026-08-19T01:28:19.618576+00:00,2026-08-19T01:28:19.618576+00:00,0.0,1,0.4632,pcs_phase_current_imbalance,PCS phase current imbalance high: 27.5,1.4,27.5,6.4,1.7,2.0,0.8,0.0,0.0
493,external_ems_2,bess_2,warning,2026-08-19T04:52:25.618575+00:00,2026-08-19T04:52:28.618684+00:00,3.0,4,0.5505,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 6.0; PCS DC current and BMS current mismatch: 53.9,0.8,1.2,53.9,6.0,1.0,0.9,0.0,0.0
494,external_ems_2,bess_2,warning,2026-08-19T04:54:19.619498+00:00,2026-08-19T04:54:22.629641+00:00,3.01,4,0.4966,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.4; PCS DC current and BMS current mismatch: 50.8,0.7,1.0,50.8,5.4,2.0,0.9,0.0,0.0
495,external_ems_2,bess_2,warning,2026-08-19T04:57:07.618648+00:00,2026-08-19T04:57:19.618567+00:00,12.0,13,0.4185,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 23.8,4.9,25.0,34.2,2.5,2.0,0.9,0.0,0.0
496,external_ems_2,bess_2,warning,2026-08-19T05:10:23.630734+00:00,2026-08-19T05:10:24.618808+00:00,0.988,2,0.6641,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 8.3; PCS DC current and BMS current mismatch: 68.5,0.4,1.8,68.5,8.3,2.0,1.0,0.0,0.0
